#
# This file was downloaded on 2016-06-28 from:
# http://www.ons.gov.uk/ons/guide-method/classifications/current-standard-classifications/standard-industrial-classification/sicCode-2007-weighted-tables-with-percentages-sic03---sicCode-07.xls
#
# It was referenced on this page:
# http://www2.warwick.ac.uk/fac/soc/economics/staff/jcsmith/sicmapping/resources/proportional/
#
# Sic2003	Sic2007	Count %	Employment %	Turnover %
22.25	18.13	100%	100%	100%
22.31	18.20	100%	100%	100%
22.32	18.20	100%	100%	100%
22.33	18.20	100%	100%	100%
23.10	19.10	100%	100%	100%
23.20	19.20	100%	100%	100%
23.30	20.13	10%	2%	16%
23.30	24.46	30%	73%	64%
23.30	38.12	10%	2%	1%
23.30	38.22	50%	23%	20%
24.11	20.11	100%	100%	100%
24.12	20.12	100%	100%	100%
24.13	20.13	100%	100%	100%
24.14	20.14	100%	100%	100%
24.15	20.15	100%	100%	100%
24.16	20.16	100%	100%	100%
24.17	20.17	100%	100%	100%
24.20	20.20	100%	100%	100%
24.30	20.30	100%	100%	100%
24.41	21.10	100%	100%	100%
24.42	21.20	85%	96%	97%
24.42	32.50	15%	4%	3%
24.51	20.41	96%	86%	84%
24.51	20.42	4%	14%	16%
24.52	20.42	100%	100%	100%
24.61	20.51	100%	100%	100%
24.62	20.52	87%	93%	95%
24.62	20.59	13%	7%	5%
24.63	20.53	100%	100%	100%
24.64	20.59	100%	100%	100%
24.65	26.80	100%	100%	100%
24.66	20.59	100%	99%	100%
24.66	26.11	0%	1%	0%
24.70	20.60	100%	100%	100%
25.11	22.11	100%	100%	100%
25.12	22.11	100%	100%	100%
25.13	22.19	100%	100%	100%
25.13	32.99	0%	0%	0%
25.21	22.21	100%	100%	100%
25.21	33.20	0%	0%	0%
25.22	22.22	100%	100%	100%
25.23	22.23	99%	100%	99%
25.23	27.33	0%	0%	0%
25.23	43.32	1%	0%	0%
25.24	22.29	100%	100%	100%
25.24	32.99	0%	0%	0%
26.11	23.11	100%	100%	100%
26.12	23.12	100%	100%	100%
26.13	23.13	100%	100%	100%
26.14	23.14	100%	100%	100%
26.15	23.19	100%	100%	100%
26.21	23.41	100%	100%	100%
26.22	23.42	100%	100%	100%
26.23	23.43	100%	100%	100%
26.24	23.44	100%	100%	100%
26.25	23.49	100%	100%	100%
26.26	23.20	100%	100%	100%
26.30	23.31	100%	100%	100%
26.40	23.32	99%	100%	100%
26.40	33.20	1%	0%	0%
26.51	23.51	100%	100%	100%
26.52	23.52	100%	100%	100%
26.53	23.52	100%	100%	100%
26.61	23.61	100%	100%	100%
26.62	23.62	100%	100%	100%
26.63	23.63	100%	100%	100%
26.64	23.64	100%	100%	100%
26.65	23.65	100%	100%	100%
26.66	23.69	100%	100%	100%
26.70	23.70	100%	100%	100%
26.81	23.91	100%	100%	100%
26.82	23.99	100%	100%	100%
27.10	24.10	100%	100%	100%
27.21	24.51	100%	100%	100%
27.22	24.20	100%	100%	100%
27.31	24.31	100%	100%	100%
27.32	24.32	100%	100%	100%
27.33	24.33	100%	100%	100%
27.34	24.34	100%	100%	100%
27.41	24.41	100%	100%	100%
27.42	24.42	100%	100%	100%
27.43	24.43	100%	100%	100%
27.44	24.44	100%	100%	100%
27.45	24.45	100%	100%	100%
27.51	24.51	100%	100%	100%
27.52	24.52	100%	100%	100%
27.53	24.53	100%	100%	100%
27.54	24.54	100%	100%	100%
28.11	24.33	0%	2%	4%
28.11	25.11	100%	98%	96%
28.11	33.20	0%	0%	0%
28.11	41.20	0%	0%	0%
28.12	25.12	80%	90%	91%
28.12	43.29	17%	6%	5%
28.12	43.32	3%	3%	4%
28.21	25.29	97%	97%	97%
28.21	33.11	2%	2%	2%
28.21	33.20	1%	1%	1%
28.22	25.21	80%	93%	96%
28.22	33.11	19%	7%	4%
28.22	33.20	0%	0%	0%
28.30	25.30	48%	25%	27%
28.30	33.11	49%	73%	68%
28.30	33.20	3%	2%	5%
28.40	25.50	100%	100%	100%
28.51	25.61	100%	100%	100%
28.52	01.62	2%	1%	1%
28.52	25.62	98%	98%	98%
28.52	33.11	0%	0%	0%
28.52	33.12	0%	1%	0%
28.52	33.20	0%	0%	1%
28.61	25.71	100%	100%	100%
28.62	25.73	97%	98%	98%
28.62	28.41	1%	1%	1%
28.62	28.49	1%	1%	1%
28.62	33.11	2%	0%	0%
