#
# This file was downloaded on 2016-06-28 from:
# http://www.ons.gov.uk/ons/guide-method/classifications/current-standard-classifications/standard-industrial-classification/sicCode-2007-weighted-tables-with-percentages-sic03---sicCode-07.xls
#
# It was referenced on this page:
# http://www2.warwick.ac.uk/fac/soc/economics/staff/jcsmith/sicmapping/resources/proportional/
#
# Sic2003	Sic2007	Count %	Employment %	Turnover %
73.10	72.20	0%	0%	0%
73.20	72.20	100%	100%	100%
74.11	69.10	100%	100%	100%
74.12	69.20	100%	100%	100%
74.13	73.20	100%	100%	100%
74.14	02.40	0%	0%	0%
74.14	70.21	3%	5%	4%
74.14	70.22	97%	94%	95%
74.14	74.90	0%	0%	0%
74.14	85.60	1%	1%	1%
74.15	64.20	66%	8%	18%
74.15	70.10	34%	92%	82%
74.20	71.11	15%	15%	11%
74.20	71.12	77%	78%	84%
74.20	74.90	9%	6%	5%
74.30	71.20	100%	100%	100%
74.40	73.11	84%	83%	81%
74.40	73.12	16%	17%	19%
74.50	78.10	24%	17%	23%
74.50	78.20	73%	83%	77%
74.50	78.30	4%	0%	0%
74.60	74.90	3%	0%	1%
74.60	80.10	79%	97%	93%
74.60	80.20	11%	2%	5%
74.60	80.30	7%	1%	1%
74.70	81.21	71%	92%	77%
74.70	81.22	16%	4%	14%
74.70	81.29	13%	4%	9%
74.81	74.20	100%	100%	100%
74.82	82.92	100%	100%	100%
74.85	74.30	15%	23%	15%
74.85	82.11	28%	20%	21%
74.85	82.19	56%	52%	60%
74.85	82.99	1%	5%	3%
74.86	82.20	100%	100%	100%
74.87	59.20	0%	0%	1%
74.87	63.99	1%	2%	2%
74.87	74.10	15%	11%	9%
74.87	74.90	19%	16%	22%
74.87	77.40	0%	0%	0%
74.87	80.30	0%	0%	0%
74.87	82.30	3%	5%	4%
74.87	82.91	1%	4%	3%
74.87	82.99	62%	61%	58%
75.11	84.11	100%	100%	100%
75.12	84.12	100%	100%	100%
75.13	84.13	100%	100%	100%
75.14	81.10	8%	1%	5%
75.14	84.11	85%	78%	60%
75.14	91.01	8%	21%	35%
75.21	84.21	100%	100%	100%
75.22	84.22	100%	100%	100%
75.23	84.23	100%	100%	100%
75.24	84.24	100%	100%	100%
75.25	84.25	100%	100%	100%
75.30	84.30	100%	100%	100%
80.10	85.10	35%	1%	2%
80.10	85.20	65%	99%	98%
80.21	85.31	100%	100%	100%
80.22	85.32	100%	100%	100%
80.30	85.41	40%	12%	12%
80.30	85.42	60%	88%	88%
80.41	85.53	100%	100%	100%
80.42	85.32	0%	0%	0%
80.42	85.52	1%	1%	1%
80.42	85.59	99%	99%	99%
85.11	86.10	65%	91%	94%
85.11	87.10	34%	9%	5%
85.11	87.20	1%	1%	1%
85.12	86.21	91%	93%	93%
85.12	86.22	9%	7%	7%
85.13	86.23	100%	100%	100%
85.14	86.90	88%	93%	94%
85.14	87.10	12%	7%	6%
85.14	87.20	0%	0%	0%
85.14	87.30	0%	0%	0%
85.20	75.00	100%	100%	100%
85.31	87.20	6%	6%	5%
85.31	87.30	51%	51%	55%
85.31	87.90	43%	44%	40%
85.32	88.10	16%	27%	26%
85.32	88.91	32%	23%	24%
85.32	88.99	52%	49%	49%
90.01	37.00	100%	100%	100%
90.02	38.11	74%	70%	67%
90.02	38.12	2%	1%	1%
90.02	38.21	24%	28%	30%
90.02	38.22	1%	1%	2%
90.03	38.11	2%	1%	1%
90.03	39.00	17%	13%	17%
90.03	81.29	81%	86%	82%
91.11	94.11	100%	100%	100%
91.12	94.12	100%	100%	100%
91.20	94.20	100%	100%	100%
91.31	94.91	100%	100%	100%
91.32	94.92	100%	100%	100%
91.33	94.99	100%	100%	100%
92.11	59.11	71%	63%	68%
92.11	59.12	27%	34%	30%
92.11	59.20	2%	3%	2%
92.12	59.13	100%	100%	100%
92.13	59.14	100%	100%	100%
92.20	59.11	74%	69%	43%
92.20	59.12	2%	2%	2%
92.20	59.13	1%	0%	0%
92.20	59.20	0%	0%	0%
92.20	60.10	15%	11%	7%
92.20	60.20	9%	17%	48%
92.31	90.01	25%	46%	43%
92.31	90.02	3%	4%	4%
92.31	90.03	72%	50%	53%
92.32	79.90	15%	15%	50%
92.32	90.02	0%	0%	0%
92.32	90.04	85%	85%	50%
92.33	93.21	98%	100%	100%
92.33	93.29	2%	0%	0%
92.34	79.90	0%	2%	0%
92.34	85.52	11%	15%	10%
92.34	90.01	69%	61%	72%
92.34	90.02	0%	0%	0%
92.34	93.29	19%	23%	17%
92.40	63.91	56%	88%	95%
92.40	63.99	26%	6%	3%
92.40	74.20	0%	0%	0%
92.40	90.03	18%	5%	2%
92.51	91.01	100%	100%	100%
92.52	91.02	54%	61%	57%
92.52	91.03	46%	39%	43%
92.53	91.04	100%	100%	100%
92.61	93.11	100%	100%	100%
92.62	85.51	7%	6%	7%
92.62	93.11	1%	1%	0%
92.62	93.12	62%	78%	80%
92.62	93.13	0%	0%	0%
92.62	93.19	28%	14%	12%
92.62	93.29	1%	1%	1%
92.71	92.00	100%	100%	100%
92.72	78.10	1%	1%	1%
92.72	79.90	0%	3%	9%
92.72	93.29	99%	96%	91%
93.01	96.01	100%	100%	100%
93.02	96.02	100%	100%	100%
93.03	96.03	100%	100%	100%
93.04	93.13	75%	87%	77%
93.04	96.04	25%	13%	23%
93.05	85.60	0%	0%	0%
93.05	96.09	100%	100%	100%
